"","text","created_at","label"
"1","Am told Crows player had Moderna vaxx 2 days before hospitalisation.  Three others in hospital with same condition vaxxed in the last week. 

Hospital staff  suggested not related to vaccine. Just a coincidence. 

#SafeandEffective.  #TrusttheScience.",2021-12-04 08:55:02,0
"2","The Covid vaccine was just the beginning: Moderna is building mRNA shots for HIV, cancer, and the flu. But can it keep ahead of its competitors? https://t.co/q6Wgd2bT0q",2021-12-05 03:37:32,0
"3","Two biotech companies, BioNTech and Moderna, decided in January 2020 to wager their futures on developing a messenger RNA shot to fight Covid-19. 

What ensued was a head-spinning race to bring a vaccine to market quicker than ever before https://t.co/X484sbQF9Y",2021-11-30 18:48:05,0
"4","Here's the latest on the omicron variant:
--Reactions are ""mild"" in South Africa
--Dutch cases could be the ""tip of the iceberg""
--Moderna expects a vaccine could be ready in early 2022
https://t.co/oz5eM21ULe",2021-11-28 17:17:05,0
"5","Moderna's chief medical officer said he suspects the new omicron variant may elude current vaccines, and if so, a reformulated shot could be available early in the new year https://t.co/pYvZENi4go",2021-11-28 12:23:08,0
"6","As omicron shows, racing to be overprepared—even without comprehensive data—could become the Covid new normal https://t.co/CbCH3fzBpa via @BW",2021-12-03 00:16:05,0
"7","Moderna shares jump 11% in U.S. premarket trading after the company said a new vaccine to fight the omicron strain of the coronavirus could be ready by early 2022 https://t.co/7z07364Nnv",2021-11-29 09:57:07,0
"8","As omicron shows, racing to be overprepared—even without comprehensive data—could become the Covid new normal https://t.co/MvxUPLFP4V via @BW",2021-12-05 04:05:04,0
"9","Moderna's chief medical officer said he suspects the new omicron variant may elude current vaccines, and if so, a reformulated shot could be available early in the new year https://t.co/tmyCfkeodD",2021-11-28 18:30:06,0
"10","As omicron shows, racing to be overprepared—even without comprehensive data—could become the Covid new normal https://t.co/X2qhD2gtt9 via @BW",2021-12-02 12:55:08,0
"11","As omicron shows, racing to be overprepared—even without comprehensive data—could become the Covid new normal https://t.co/77o1sIPFK2 via @BW",2021-12-04 05:05:02,0
"12","Moderna falls after losing an appeal of a patent ruling involving a rival’s drug-delivery technology, which could make its Covid-19 vaccine vulnerable to infringement suits https://t.co/YmZ8eKdHQ0",2021-12-01 16:16:26,0
"13","The Covid vaccine was just the beginning: Moderna is building mRNA shots for HIV, cancer, and the flu. But can it keep ahead of its competitors? https://t.co/h4tPLMme7g",2021-12-04 03:59:02,0
"14","LATEST: Moderna's chief medical officer said he suspects the new omicron variant may elude current vaccines, and if so, a reformulated shot could be available early in the new year https://t.co/NACKkcHcwL",2021-11-28 13:39:05,0
"15","The U.K. will buy an additional 114 million Covid-19 vaccine doses from Moderna and the partnership of Pfizer and BioNTech to secure the country’s supplies following the emergence of the omicron variant https://t.co/mR7Bob3nVD",2021-12-02 01:01:04,0
"16","Vaccine exec’s comments spook markets, new leadership at Twitter, and a Labour reshuffle. Here's what you need to know https://t.co/ZZaHXEdSqk",2021-11-30 07:41:02,0
"17","49-year-old Texas man who recovered from COVID—but was required to be fully vaccinated against virus before being approved for a life-saving lung transplant—died when he developed a pulmonary embolism and heart issues after his second Moderna vaccine.

https://t.co/YHCwKb2lIp",2021-11-29 22:24:51,0
"18","Vaccine makers are preparing for the Omicron storm and are already working on modified boosters targeting the new COVID strain. https://t.co/LfRS2k3CuN",2021-11-30 21:15:01,0
"19","Vaccine makers are preparing for the worst and are already working on modified boosters targeting the new COVID strain. https://t.co/mRSMbMhZ0Y",2021-12-05 19:30:01,0
"20","Researchers found both the Pfizer and Moderna vaccines highly effective against breakthrough infections https://t.co/N4xbEu3snj",2021-12-05 18:20:01,0
"21","Check out this #COVID19 Pfizer &amp; Moderna vaccine pop-up walk-in clinic.  💉 

Open to all #Durham residents 12+ (youth born in 2009) for 1st &amp; 2nd dose. 3rd dose for eligible populations.

📅 Dec. 7 - 10am-4pm
📍 Newcastle United Church, 84 Mill St. S., Newcastle https://t.co/iSlxqf23We",2021-12-05 18:12:01,0
